 threshold  accuracy  balanced_accuracy  normal_recall  abnormal_recall  normal_precision  abnormal_precision  macro_f1
      0.30     0.692              0.692          0.608            0.776          0.730769            0.664384  0.689811
      0.35     0.690              0.690          0.660            0.720          0.702128            0.679245  0.689721
      0.40     0.682              0.682          0.704            0.660          0.674330            0.690377  0.681846
      0.45     0.683              0.683          0.742            0.624          0.663685            0.707483  0.681893
      0.50     0.676              0.676          0.780            0.572          0.645695            0.722222  0.672457
      0.55     0.675              0.675          0.820            0.530          0.635659            0.746479  0.668020
      0.60     0.668              0.668          0.846            0.490          0.623894            0.760870  0.657137
      0.65     0.662              0.662          0.872            0.452          0.614085            0.779310  0.646407
      0.70     0.653              0.653          0.900            0.406          0.602410            0.802372  0.630454
